corrida;secao;acoatual;qualidade;al_min;c_min;c_max;n_min;s_min;sequencia;sequenciatotal;panela;vidapanela;tempociclo;tempovacuototal;temperaturaliquidus;temperaturasaidafp;temperaturaobjetivada
5456;90.0;E0C4317E;0C12C54A;0.0;0.47;0.5;0.02;0.05;6.0;6.0;7.0;45.0;3731.0;51.0;1472.0;1639;1517.0
5455;90.0;27A662A3;0C12C54A;0.0;0.42;0.45;0.02;0.05;5.0;6.0;1.0;12.0;3214.0;51.0;1472.0;1635;1517.0
5454;90.0;35AA0819;B44BA138;0.01;0.39;0.41;0.01;0.05;4.0;6.0;6.0;40.0;2726.0;34.0;1482.0;1667;1542.0
5453;90.0;E2357C0F;B44BA138;0.01;0.35;0.37;0.01;0.04;3.0;6.0;3.0;16.0;3667.0;34.0;1482.0;1660;1542.0
5452;90.0;4E8031E6;B44BA138;0.01;0.43;0.45;0.01;0.06;2.0;6.0;8.0;60.0;3750.0;34.0;1482.0;1651;1542.0
5451;90.0;4CACC858;00FFEE90;0.01;0.38;0.41;0.01;0.02;1.0;6.0;7.0;44.0;3431.0;18.0;1489.0;1641;1534.0
5450;90.0;98E0AE1E;6657D710;0.01;0.32;0.37;0.0;0.0;5.0;5.0;1.0;11.0;2915.0;34.0;1493.0;1643;1543.0
5449;90.0;0DC5A27C;6657D710;0.01;0.34;0.4;0.0;0.0;4.0;5.0;6.0;39.0;2433.0;34.0;1493.0;1639;1543.0
5448;90.0;B2EDDF9C;D6C5A3D0;0.02;0.21;0.23;0.0;0.02;3.0;5.0;3.0;15.0;3373.0;46.0;1501.0;1658;1546.0
5447;90.0;A7B54008;D6C5A3D0;0.02;0.17;0.19;0.0;0.01;2.0;5.0;8.0;59.0;3464.0;34.0;1501.0;1645;1546.0
5446;90.0;C18B3C98;0A8B5BDF;0.01;0.34;0.36;0.01;0.02;1.0;5.0;7.0;43.0;3146.0;41.0;1481.0;1670;1536.0
5445;90.0;7C6F1AEC;F1291CB0;0.02;0.17;0.18;0.01;0.02;4.0;4.0;1.0;10.0;2625.0;55.0;1506.0;1678;1551.0
5444;90.0;72757E05;F1291CB0;0.02;0.18;0.2;0.01;0.02;3.0;4.0;6.0;38.0;2142.0;55.0;1506.0;1678;1551.0
5443;90.0;048D0685;F1291CB0;0.02;0.19;0.21;0.01;0.02;2.0;4.0;3.0;14.0;3076.0;55.0;1506.0;1685;1551.0
5442;90.0;CB1628CC;F1291CB0;0.02;0.21;0.23;0.01;0.02;1.0;4.0;8.0;58.0;3160.0;60.0;1506.0;1693;1551.0
5441;90.0;E87C99BE;84F4F88C;0.01;0.08;0.1;0.0;0.0;7.0;7.0;7.0;42.0;2849.0;34.0;1522.0;1673;1557.0
5440;90.0;92B29C29;84F4F88C;0.02;0.09;0.13;0.0;0.0;6.0;7.0;1.0;9.0;2333.0;18.0;1522.0;1664;1557.0
5439;90.0;0CBB218B;4AC24E4B;0.02;0.26;0.3;0.01;0.02;5.0;7.0;6.0;37.0;1850.0;41.0;1501.0;1655;1541.0
5438;90.0;BC7CA69F;6466E4EB;0.02;0.17;0.21;0.01;0.01;4.0;7.0;3.0;13.0;2794.0;34.0;1505.0;1656;1550.0
5437;90.0;D7A0B333;6466E4EB;0.02;0.19;0.22;0.01;0.01;3.0;7.0;8.0;57.0;2879.0;34.0;1505.0;1655;1550.0
5436;90.0;3A75D464;0D082BA3;0.01;0.3;0.33;0.01;0.02;2.0;7.0;7.0;41.0;2561.0;34.0;1498.0;1650;1538.0
5435;90.0;242793B6;0D082BA3;0.01;0.29;0.32;0.01;0.02;1.0;7.0;1.0;8.0;2043.0;34.0;1498.0;1664;1538.0
5434;90.0;0729F9F9;76E5EEFF;0.02;0.19;0.21;0.01;0.01;2.0;2.0;6.0;36.0;1513.0;34.0;1504.0;1650;1549.0
5433;90.0;457B036C;76E5EEFF;0.02;0.19;0.21;0.01;0.01;1.0;2.0;3.0;12.0;2453.0;34.0;1504.0;1645;1549.0
5432;90.0;F40CFA65;76E5EEFF;0.03;0.22;0.25;0.01;0.01;1.0;3.0;8.0;56.0;2533.0;34.0;1504.0;1665;1549.0
5431;90.0;7FC9F264;96956A01;0.02;0.15;0.17;0.01;0.02;7.0;7.0;1.0;7.0;1745.0;46.0;1500.0;1665;1540.0
5430;90.0;5F903C0B;96956A01;0.02;0.15;0.17;0.01;0.02;6.0;7.0;7.0;40.0;2148.0;46.0;1500.0;1657;1540.0
5429;90.0;AC59C35F;8C409667;0.02;0.19;0.21;0.01;0.0;5.0;7.0;6.0;35.0;1204.0;34.0;1504.0;1642;1544.0
5428;90.0;296B3E48;1169CAE4;0.02;0.22;0.25;0.0;0.03;4.0;7.0;3.0;11.0;2142.0;46.0;1502.0;1657;1542.0
5427;90.0;54F4FD04;1169CAE4;0.02;0.25;0.28;0.0;0.03;3.0;7.0;8.0;55.0;2224.0;46.0;1502.0;1656;1542.0
5426;90.0;0C93DEEE;1169CAE4;0.02;0.17;0.2;0.0;0.02;2.0;7.0;1.0;6.0;1439.0;46.0;1502.0;1656;1542.0
5425;90.0;9567B84E;D36B37E7;0.01;0.31;0.36;0.0;0.0;1.0;7.0;7.0;39.0;1842.0;53.0;1480.0;1665;1525.0
5424;90.0;83CE69E1;D927D5F2;0.02;0.18;0.21;0.01;0.02;9.0;9.0;6.0;34.0;895.0;32.0;1507.0;1666;1551.0
5423;90.0;DF372E40;D927D5F2;0.02;0.14;0.16;0.01;0.02;8.0;9.0;3.0;10.0;1837.0;32.0;1507.0;1662;1551.0
5422;90.0;1DFDDDA6;D927D5F2;0.02;0.15;0.17;0.01;0.02;7.0;9.0;8.0;54.0;1920.0;32.0;1507.0;1661;1551.0
5421;90.0;6564B51C;D927D5F2;0.02;0.17;0.2;0.01;0.02;6.0;9.0;1.0;5.0;1136.0;32.0;1507.0;1662;1551.0
